disturbed?,coastal?,classification,population,ID,leaf_weight_g,leaf_area,lflength,SLA,avg_fruit_length,plant_height,# flowers,# fruits,reproductive_effort,E_cicutarium,E_brachycarpum,E. malacoides,E_botrys,E_moschatum,other_Erodium,Erodium_total,grass ,forb,shrub,total,soil_wet_weight,soil_dry_weight,soil_water_content,OM,ENR,P1,HCO3_P,PH,K,MG,CA,NA,BUFFER_PH,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,S
disturbed,inland,agricultural,Alcohuaz,Al9,0.003,46.19,15.975,15396.66667,2.15,3.50,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,395,393,2,3.3,95.2,46.1,6.9,7.7,209.0,123.0,2043.0,10.0,,0.0,11.8,4.5,8.6,86.5,0.0,0.4,7.0
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC1,0.00006,7.1,4.7,118333.3333,,3.4,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.70,,185.8,,4.1,112.0,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9.0,4.2,25.6,45.3,21.0,3.9,13.8
undisturbed,coastal,reserve-grassland,Bodega Bay cove,BBC10,0.00086,16.1,10.4,18720.93023,3.5,4.5,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.10,0.00,0.90,,142.95,,3.0,90.4,14.6,6.0,5.6,159.1,219.2,633.9,63.0,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16.0
undisturbed,coastal,reserve-grassland,Bodega Bay cove,BBC2,0.00095,28,11.0,29473.68421,4.1,NOT ENOUGH COLLECTED TO MEASURE,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.00,0.30,,216.47,,3.5,100.6,16.0,18.0,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26.0,5.1,10.3
undisturbed,coastal,reserve-grassland,Bodega Bay cove,BBC3,0.00026,,,,3.4,6.7,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.50,0.00,0.80,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24.0,36.5,31.0,5.8,16.6
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC4,0.00232,39.9,13.8,17198.27586,3.4,7.5,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.80,,153.92,,4.0,109.8,14.5,28.9,5.4,154.0,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26.0,37.7,28.5,4.4,21.5
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC5,0.00032,5.6,5.1,17500,3.2,4.4,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.20,0.00,0.70,,208.36,,3.2,94.2,14.6,18.3,5.5,163.7,249.3,573.8,101.3,6.7,2.0,7.8,5.4,26.3,36.7,26.0,5.6,18.2
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC6,0.00098,28.7,11.0,29285.71429,3.8,5.9,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.40,,147.32,,2.8,86.0,14.4,14.3,5.5,149.4,303.8,677.8,110.3,6.7,2.4,9.1,4.2,27.4,37.1,26.0,5.3,19.4
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC7,0.00478,197.5,44.2,41317.99163,3.65,6.6,2,2,4,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.40,0.00,0.70,,183.84,,4.1,112.6,16.4,16.8,5.5,134.1,296.3,876.9,90.7,6.7,2.7,10.2,3.4,23.9,42.9,26.0,3.9,15.0
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC8,0.0032,86.7,24.3,27093.75,3.2,4,2,1,3,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.40,0.45,0.00,0.90,,178.54,,4.0,110.0,12.7,6.6,5.5,96.0,272.5,811.3,71.7,6.7,2.4,9.3,2.7,24.2,43.8,26.0,3.4,13.2
disturbed,coastal,reserve-grassland,Bodega Bay cove,BBC9,0.00112,57.3,17.8,51160.71429,3.6,7,2,4,6,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.80,0.00,0.90,,176.9,,4.0,110.2,16.7,8.9,5.2,162.1,295.5,758.2,69.6,6.6,3.7,10.6,3.9,23.0,35.8,34.5,2.9,13.5
disturbed,inland,reserve - desert,Burns reserve,BFS1,0.00195,31.2,10.8,16000,,1,0,1,1,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,321.83,321.63,0.2,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS10,0.01534,237.2,33.8,15462.84224,,3.6,10,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,280.15,276.67,3.48,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS11,,95.9,22.9,,,2.9,3,1,4,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,201.91,200.05,1.86,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS12,0.00239,38.1,13.0,15941.42259,,2.5,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.00,0.15,308.27,308.76,-0.49,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS13,0.00556,84.1,23.8,15125.89928,0.8,3.1,3,1,4,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,225.8,224.45,1.35,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS14,0.00478,88.9,24.6,18598.32636,,2.1,1,1,2,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,315.25,316,-0.75,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS15,0.00657,99,20.7,15068.49315,0.6,3.2,1,1,2,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,352.8,349.77,3.03,,,,,,,,,,,,,,,,,,
disturbed,inland,reserve - desert,Burns reserve,BFS2,0.00461,94.8,22.0,20563.99132,,4.3,2,1,3,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.05,0.00,0.20,196.07,197.18,-1.11,,,,,,,,,,,,,,,,,,
disturbed,inland,reserve - desert,Burns reserve,BFS3,0.0025,26.8,11.3,10720,,1.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,319.99,312.4,7.59,,,,,,,,,,,,,,,,,,
disturbed,inland,reserve - desert,Burns reserve,BFS4,,39.1,15.4,,,1.8,2,1,3,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,267.78,265.86,1.92,,,,,,,,,,,,,,,,,,
disturbed,inland,reserve - desert,Burns reserve,BFS5,0.00209,33.9,14.7,16220.09569,,1.7,2,1,3,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.05,0.00,0.35,315.49,314.06,1.43,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS6,0.00177,22.9,10.9,12937.85311,,1.2,1,1,2,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.05,0.00,0.15,368.1,364.21,3.89,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS7,,14.5,11.2,,1.4,4.1,13,3,16,0.45,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.15,0.00,0.60,308.39,305.24,3.15,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS8,0.00132,245.9,38.8,186287.8788,,1,1,1,2,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.10,316.97,315.43,1.54,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - desert,Burns reserve,BFS9,0.003,39.3,13.5,13100,,3.6,4,1,5,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.04,270.45,270.7,0,,,,,,,,,,,,,,,,,,
disturbed,coastal,burn,Blue Oak Ranch,BlueG1,0.00584,411.4,85.9,70445.20548,3.833333333,5.7,7,5,12,0.65,0.00,0.00,0.00,0.00,0.00,0.65,0.10,0.00,0.00,0.75,186.03,168.55,17.48,8.2,194.8,20.7,22.5,5.9,150.5,260.2,1406.0,49.9,6.7,2.0,11.8,3.3,18.2,59.7,17.0,1.8,22.8
disturbed,coastal,burn,Blue Oak Ranch,BlueG10,0.00946,112.6,31.7,11902.74841,3.8,5.9,16,10,26,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.10,0.10,0.00,0.50,196.6,178.01,18.59,3.3,95.8,10.9,18.7,5.6,169.1,212.3,1105.0,97.5,6.7,2.5,10.6,4.1,16.5,52.0,23.5,4.0,8.3
disturbed,coastal,burn,Blue Oak Ranch,BlueG11,0.01181,191.3,41.0,16198.13717,3.866666667,16.1,14,8,22,0.00,0.40,0.00,0.00,0.00,0.40,0.40,0.10,0.00,0.00,0.50,183.8,170.64,13.16,3.2,94.4,10.4,20.2,5.5,156.2,245.5,1266.0,56.8,6.6,3.2,12.1,3.3,16.6,52.0,26.0,2.0,9.8
undisturbed,coastal,burn,Blue Oak Ranch,BlueG12,0.0025,60.4,20.1,24160,3.65,2.8,2,4,6,0.05,0.40,0.00,0.00,0.00,0.40,0.45,0.00,0.15,0.00,0.60,126.1,117.83,8.27,5.3,135.2,24.0,36.0,5.6,127.7,208.2,1132.0,29.5,6.7,2.4,10.2,3.2,16.8,55.3,23.5,1.3,7.8
undisturbed,coastal,burn,Blue Oak Ranch,BlueG13,0.00864,125.2,31.8,14490.74074,3.866666667,6.7,4,5,9,0.50,0.00,0.00,0.20,0.00,0.20,0.70,0.00,0.10,0.00,0.80,213.4,189.52,23.88,4.0,109.2,14.4,24.9,5.7,170.0,203.6,1179.0,43.6,6.7,2.2,10.4,4.2,16.2,56.8,21.0,1.8,7.2
undisturbed,coastal,burn,Blue Oak Ranch,BlueG14,0.00726,111.9,27.9,15413.22314,3.933333333,2.9,7,4,11,0.05,0.75,0.00,0.00,0.00,0.75,0.80,0.10,0.00,0.00,0.90,246.91,219.26,27.65,2.6,82.4,14.8,26.8,5.6,133.2,188.5,1086.0,35.3,6.7,2.3,9.8,3.5,15.9,55.5,23.5,1.6,5.3
undisturbed,coastal,burn,Blue Oak Ranch,BlueG15,0.01075,,,,4.033333333,8.6,15,12,27,0.40,0.00,0.00,0.30,0.00,0.30,0.70,0.00,0.00,0.00,0.70,192.58,172.56,20.02,5.7,143.8,16.2,18.7,5.7,117.1,214.0,1224.0,28.2,6.7,2.2,10.5,2.9,16.8,58.2,21.0,1.2,5.8
disturbed,coastal,burn,Blue Oak Ranch,BlueG2,0.00519,85.5,26.1,16473.98844,3.933333333,4.4,8,4,12,0.20,0.80,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00,1.00,206.76,185.12,21.64,3.8,105.8,14.0,24.1,5.5,140.0,249.5,1362.0,31.6,6.6,3.3,12.6,2.8,16.3,53.8,26.0,1.1,10.1
disturbed,coastal,burn,Blue Oak Ranch,BlueG3,0.01685,313.1,40.6,18581.60237,3.833333333,15.2,21,12,33,0.00,0.50,0.00,0.00,0.00,0.50,0.50,0.00,0.10,0.00,0.60,205.41,184.33,21.08,3.8,106.8,14.9,36.8,5.7,130.5,243.0,1260.0,33.9,6.7,2.3,11.1,3.0,18.0,56.7,21.0,1.3,8.5
disturbed,coastal,burn,Blue Oak Ranch,BlueG4,0.00419,85.8,23.1,20477.32697,3.766666667,5.8,7,3,10,0.50,0.05,0.00,0.00,0.00,0.05,0.55,0.10,0.00,0.00,0.65,202.44,177.15,25.29,4.2,113.0,12.9,22.8,5.6,81.1,171.4,915.8,20.8,6.7,1.9,8.2,2.5,17.2,55.7,23.5,1.1,6.4
disturbed,coastal,burn,Blue Oak Ranch,BlueG5,0.0066,121.7,30.5,18439.39394,2.8,3.4,3,1,4,0.05,0.70,0.00,0.00,0.00,0.70,0.75,0.00,0.00,0.00,0.75,192.14,177.24,14.9,3.4,97.4,22.6,32.6,6.0,130.6,261.9,1613.0,20.2,6.7,1.9,12.5,2.7,17.2,64.4,15.0,0.7,7.4
disturbed,coastal,burn,Blue Oak Ranch,BlueG6,0.00709,113.9,26.9,16064.88011,3.533333333,5.5,7,8,15,0.00,0.40,0.00,0.30,0.00,0.70,0.70,0.00,0.00,0.00,0.70,224.23,211.81,12.42,3.3,95.8,22.5,38.7,5.6,89.1,180.4,954.2,20.9,6.7,2.0,8.6,2.7,17.3,55.5,23.5,1.1,5.4
disturbed,coastal,burn,Blue Oak Ranch,BlueG7,0.02342,321.3,57.6,13719.04355,4.2,11,26,18,44,0.25,0.00,0.00,0.45,0.00,0.45,0.70,0.00,0.05,0.00,0.75,146.05,126.26,19.79,4.2,113.8,18.0,66.6,5.7,163.7,270.7,1370.0,27.5,6.7,2.6,12.2,3.4,18.3,56.3,21.0,1.0,5.9
disturbed,coastal,burn,Blue Oak Ranch,BlueG8,0.00271,48.9,15.9,18044.28044,3.85,2.2,4,2,6,0.10,0.40,0.00,0.00,0.00,0.40,0.50,0.00,0.00,0.00,0.50,234.8,213.12,21.68,2.8,86.4,12.5,18.8,5.6,132.8,280.0,1443.0,42.2,6.6,3.1,13.1,2.6,17.6,54.9,23.5,1.4,13.8
disturbed,coastal,burn,Blue Oak Ranch,BlueG9,0.00508,83.9,31.8,16515.74803,4,3.7,2,2,4,0.30,0.20,0.00,0.00,0.00,0.20,0.50,0.10,0.00,0.00,0.60,218.34,197.32,21.02,3.1,91.8,12.7,14.4,5.7,115.9,188.3,1065.0,51.7,6.7,2.0,9.3,3.2,16.6,56.9,21.0,2.4,6.7
disturbed,coastal,agricultural,Calcareous,Calc1,0.00332,44.8,13.5,13493.9759,3.6,2.9,4,3,7,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,147.65,117.5,30.15,,,,,,,,,,,,,,,,,,
disturbed,coastal,agricultural,Calcareous,Calc10,,,,,3,3.2,1,1,2,0.45,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.45,212.74,176.32,36.42,3.1,92.4,30.5,10.0,7.7,146.5,135.5,8225.0,34.2,,0.0,42.7,0.9,2.6,96.2,0.0,0.3,7.3
disturbed,coastal,agricultural,Calcareous,Calc11,0.00076,94.7,,124605.2632,2.7,2.6,1,1,2,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.40,201.42,169.2,32.22,3.7,103.2,4.8,8.6,7.8,77.9,63.9,5894.0,30.2,,0.0,30.3,0.7,1.7,97.2,0.0,0.4,8.5
disturbed,coastal,agricultural,Calcareous,Calc12,0.00147,30.6,9.7,20816.32653,3.3,3.2,2,1,3,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.00,0.00,0.20,219.9,177.14,42.76,,,,,,,,,,,,,,,,,,
disturbed,coastal,agricultural,Calcareous,Calc13,0.0027,53.5,13.3,19814.81481,3.65,3.7,2,5,7,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.10,261.09,207.47,53.62,3.0,89.8,0.7,12.2,7.9,83.7,87.1,6995.0,30.5,,0.0,36.0,0.6,2.0,97.0,0.0,0.4,6.3
disturbed,coastal,agricultural,Calcareous,Calc14,0.00354,78.8,20.8,22259.88701,3.7,4.7,3,3,6,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.00,0.60,231.41,193.3,38.11,4.9,127.6,12.6,10.3,7.7,122.9,160.4,7937.0,31.8,,0.0,41.4,0.8,3.2,95.7,0.0,0.3,8.0
disturbed,coastal,agricultural,Calcareous,Calc15,0.00355,53.3,16.3,15014.08451,3.4,2.9,4,2,6,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.00,0.00,0.15,191.71,163.38,28.33,4.4,117.6,2.0,14.0,7.7,133.7,111.6,7775.0,53.5,,0.0,40.3,0.8,2.3,96.3,0.0,0.6,1.3
disturbed,coastal,agricultural,Calcareous,Calc16,0.0005,15.1,7.0,30200,3.2,1.6,1,1,2,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.00,0.00,0.20,142.74,122.83,19.91,,,,,,,,,,,,,,,,,,
disturbed,coastal,agricultural,Calcareous,Calc17,0.00409,,,,3.5,7,3,3,6,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.90,150.57,124.33,26.24,3.9,108.6,3.0,13.0,7.7,171.6,120.4,8689.0,46.4,,0.0,45.0,1.0,2.2,96.4,0.0,0.4,5.3
disturbed,coastal,agricultural,Calcareous,Calc18,0.00233,43.3,21.2,18583.69099,3.4,4.1,2,1,3,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.00,0.00,0.15,227.61,178.56,49.05,2.0,69.2,94.7,24.0,8.0,178.9,110.7,7035.0,30.9,,0.0,36.6,1.2,2.5,95.9,0.0,0.4,13.0
disturbed,coastal,agricultural,Calcareous,Calc19,0.00322,60.2,17.3,18695.65217,3.9,4.9,4,4,8,0.35,0.00,0.00,0.00,0.00,0.00,0.35,0.05,0.00,0.00,0.40,211.5,175.75,35.75,1.8,66.0,68.5,16.5,7.8,142.9,88.4,8306.0,35.5,,0.0,42.7,0.9,1.7,97.1,0.0,0.4,6.8
disturbed,coastal,agricultural,Calcareous,Calc2,0.00504,90.4,21.1,17936.50794,3.8,2.7,5,1,6,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.10,137.35,119.59,17.76,5.1,131.6,10.0,14.4,7.7,164.4,130.5,9876.0,45.0,,0.0,51.0,0.8,2.1,96.7,0.0,0.4,7.4
undisturbed,coastal,agricultural,Calcareous,Calc20,0.00224,40.5,15.2,18080.35714,3.1,3.9,3,2,5,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.00,0.00,0.25,233.21,189.31,43.9,,,,,,,,,,,,,,,,,,
undisturbed,coastal,agricultural,Calcareous,Calc3,0.00409,59.8,17.3,14621.02689,3.8,4.1,5,5,10,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,206.69,171.75,34.94,3.7,104.2,62.2,4.4,7.6,185.1,82.6,7845.0,44.4,,0.0,40.5,1.2,1.7,96.7,0.0,0.5,3.3
undisturbed,coastal,agricultural,Calcareous,Calc4,0.0074,100.9,22.1,13635.13514,3.766666667,5.4,11,9,20,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.00,0.00,0.45,230.4,186.41,43.99,,,,,,,,,,,,,,,,,,
undisturbed,coastal,agricultural,Calcareous,Calc5,0.0035,66.6,20.1,19028.57143,3.2,3.5,0,3,3,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.00,0.00,0.25,245.93,201.34,44.59,4.2,113.4,8.0,8.8,7.7,153.1,103.3,8243.0,33.9,,0.0,42.5,0.9,2.0,96.7,0.0,0.3,6.6
undisturbed,coastal,agricultural,Calcareous,Calc6,0.00171,30.5,11.5,17836.25731,3.3,3.1,2,2,4,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,157.33,134.05,23.28,3.5,99.6,16.8,26.3,7.8,122.2,94.1,7579.0,37.0,,0.0,39.1,0.8,2.0,96.8,0.0,0.4,2.3
disturbed,coastal,agricultural,Calcareous,Calc7,0.00058,12.8,8.0,22068.96552,3.2,3,0,1,1,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.15,0.00,0.00,0.55,150.62,126.25,24.37,3.9,108.0,8.5,8.3,7.7,142.7,122.0,8433.0,39.5,,0.0,43.6,0.8,2.3,96.5,0.0,0.4,7.5
disturbed,coastal,agricultural,Calcareous,Calc8,0.00269,51.4,14.5,19107.80669,3.4,3.9,2,1,3,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,198.59,164.95,33.64,3.7,104.8,16.7,10.9,7.8,110.7,89.1,6621.0,32.1,,0.0,34.2,0.8,2.1,96.6,0.0,0.4,5.7
disturbed,coastal,agricultural,Calcareous,Calc9,0.00107,20.8,8.1,19439.25234,3.8,2.7,2,1,3,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.05,0.00,0.00,0.45,204.8,171.34,33.46,5.5,139.8,18.4,16.1,7.9,108.6,102.4,7861.0,30.1,,0.0,40.5,0.7,2.1,96.9,0.0,0.3,2.1
undisturbed,inland,roadside,Las Campanas,Camp1,0.01052,24.322,,2311.977186,3.40,6.30,2,5,7,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,204,182,22,,,,,,,,,,,,,,,,,,
