Rack,pot,GH_family_ID,field_family_ID,region,Site,climate,climate_management,management type,indiv,treatment,experiment,precipCV,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,E_cicutarium,E_brachycarpum,E__malacoides,E_botrys,E_moschatum,other_Erodium,Erodium_total,grass_,forb,shrub,total_cover,F_leaf_weight,F_leaf_area,F_lflength,field_SLA,F_avg_fruit_length,Site,F_length_longest_stem,F_flowers,F_fruits,F_reproductive_effort,soil_wet_weight,soil_dry_weight,water_content,OM,ENR,P1,HCO3_P,PH,K,MG,CA,NA,BUFFER_PH,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,S,GH_plant_to_emerge,GH_emerge_to_flower,gen2_earlylfno,gen2_boltdate,days_to_bolt,gen2_ffdate,days_to_flower,gen2_no_internodes,gen2_length_longest_stem,gen2_no_seeds_missed,gen2_no_fruits,gen2_no_flowers,gen2_no_seeds,gen2_total_seeds,photo session,tech,Total Area (mm2),raw weight,correction,tray weight,leaf_weight,SLA
25,816,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,9,39458,132,39464,138,2,0.7,7,3,1,6,13,1,emily,247.761,0.01577,,,0.01577,15710.90679
52,1279,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,7,39459,133,39464,138,4,1.7,10,6,0,6,16,,,,,,,,
55,1079,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,7,39486,160,NA,NA,0,0,0,0,0,0,0,2,emily,115.242,0.0091,,,0.0091,12663.95604
12,14,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,emily,112.251,0.00951,,,0.00951,11803.47003
37,1076,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,10,39452,126,39455,129,2,0.9,0,0,0,0,0,1,josephine,644.3,0.03695,,,0.03695,17437.07713
16,1494,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,9,39438,112,39435,109,4,1.4,0,0,0,0,0,1,emily,409.995,0.0309,,,0.0309,13268.4466
34,1225,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,8,39459,133,39464,138,3,2.1,24,11,0,20,44,1,emily,374.626,0.01862,,,0.01862,20119.54887
51,697,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,6,39451,125,39457,131,3,2.8,32,12,1,8,40,2,,,0.44928,0.023093,,0.0230927,
42,1320,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,8,39463,137,39469,143,3,1.2,27,8,0,5,32,1,emily,329.362,0.01282,,,0.01282,25691.26365
32,812,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,7,39463,137,39470,144,3,1.3,0,0,0,0,0,1,emily,241.533,0.0136,,,0.0136,17759.77941
17,1157,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,6,NA,NA,NA,NA,2,1.7,0,0,0,0,0,1 and 2,emily,254.171,0.43889,0.01429,0.4246,0.01429,17786.63401
24,214,628,BBC2,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.00095,28,11,29473.68421,4.1,Bodega Bay cove,,,,,,216.47,,3.5,100.6,16,18,5.5,131.2,272.2,752.5,107.2,6.7,2.4,9.2,3.7,24.4,40.9,26,5.1,10.3,3,101,7,NA,NA,NA,NA,1,0.2,0,0,0,0,0,1,emily,239.858,0.01531,,,0.01531,15666.75376
10,1039,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,10,39427,101,39434,108,4,3.8,17,10,0,8,25,1,emily,529.513,0.04054,,,0.04054,13061.49482
10,266,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,NA,NA,NA,NA,NA,,,0,0,0,0,0,,,,,,,,
34,623,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,7,39446,120,39451,125,3,2.5,19,9,0,8,27,1,josephine,419,0.01301,,,0.01301,32205.99539
38,1152,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,7,39457,131,39463,137,2,0.8,5,4,0,10,15,1,josephine,247.9,0.01169,,,0.01169,21206.15911
2,523,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,8,39469,143,39475,149,0,0,0,1,0,4,4,1,emily,235.661,0.0187,,,0.0187,12602.19251
3,724,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,5,NA,NA,NA,NA,0,0,0,0,0,0,0,1,emily,146.059,0.01116,,,0.01116,13087.72401
8,153,335,BBC3,California,Bodega Bay cove,coastal,coastal preserve,preserve,b,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.3,0.5,0,0.8,0.00026,,,,3.4,Bodega Bay cove,6.7,0,3,3,,186.47,,3.3,96.8,12.9,26.9,5.3,109.2,296.5,744.5,135.5,6.6,3.2,10.2,2.7,24,36.5,31,5.8,16.6,3,87,7,NA,NA,NA,NA,0,0,0,0,0,0,0,1,emily,100.231,0.00844,,,0.00844,11875.7109
57,892,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,9,39432,106,39438,112,2,1.5,0,2,0,10,10,2,emily,462.7,0.45659,0.030403,,0.0304027,15219.04305
34,172,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,8,39447,121,39452,126,4,1.8,16,5,0,0,16,1,josephine,406.7,0.01557,,,0.01557,26120.74502
30,1209,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,8,39434,108,39441,115,4,2.5,22,6,2,0,22,1,emily,405.977,0.01613,,,0.01613,25169.06386
6,560,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,8,39461,135,39466,140,2,1.4,0,2,0,4,4,1,emily,144.286,0.01035,,,0.01035,13940.67633
52,1241,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,7,39452,126,NA,NA,3,0.9,15,7,0,1,16,,,,,,,,
44,1185,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,7,NA,NA,NA,NA,2,4,0,0,0,0,0,1,emily,207.098,0.00793,,,0.00793,26115.76293
55,1093,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,6,39421,95,39427,101,3,2.9,0,3,0,14,14,2,emily,116.766,0.00573,,,0.00573,20378.01047
21,80,526,BBC4,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.4,0.4,0,0.8,0.00232,39.9,13.8,17198.27586,3.4,Bodega Bay cove,7.5,2,3,5,,153.92,,4,109.8,14.5,28.9,5.4,154,366.5,875.3,117.6,6.6,3.3,11.6,3.4,26,37.7,28.5,4.4,21.5,3,84,9,NA,NA,NA,NA,0,0,0,0,0,0,0,,,,,,,,
1,785,99,BBC5,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.5,0.2,0,0.7,0.00032,5.6,5.1,17500,3.2,Bodega Bay cove,4.4,0,2,2,,208.36,,3.2,94.2,14.6,18.3,5.5,163.7,249.3,573.8,101.3,6.7,2,7.8,5.4,26.3,36.7,26,5.6,18.2,2.5,98,10,39427,101,39437,111,4,3,12,7,0,23,35,,emily,367.88,0.02992,,,0.02992,12295.45455
1,445,99,BBC5,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.5,0.2,0,0.7,0.00032,5.6,5.1,17500,3.2,Bodega Bay cove,4.4,0,2,2,,208.36,,3.2,94.2,14.6,18.3,5.5,163.7,249.3,573.8,101.3,6.7,2,7.8,5.4,26.3,36.7,26,5.6,18.2,2.5,98,10,39427,101,39434,108,1,1.2,2,4,3,9,11,,emily,385.875,0.03417,,,0.03417,11292.8007
5,1439,99,BBC5,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.5,0.2,0,0.7,0.00032,5.6,5.1,17500,3.2,Bodega Bay cove,4.4,0,2,2,,208.36,,3.2,94.2,14.6,18.3,5.5,163.7,249.3,573.8,101.3,6.7,2,7.8,5.4,26.3,36.7,26,5.6,18.2,2.5,98,8,39449,123,39456,130,1,1.7,0,0,0,0,0,1 and 2,emily,267.555,0.0203,,,0.0203,13180.04926
60,688,99,BBC5,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.5,0.2,0,0.7,0.00032,5.6,5.1,17500,3.2,Bodega Bay cove,4.4,0,2,2,,208.36,,3.2,94.2,14.6,18.3,5.5,163.7,249.3,573.8,101.3,6.7,2,7.8,5.4,26.3,36.7,26,5.6,18.2,2.5,98,6,39448,122,39455,129,2,0.4,8,2,0,0,8,2,emily,186.567,0.44417,0.017983,,0.0179827,10374.80467
